id,name,type,frameType,description,level,atk,def,race,attribute,archetype
14261867,8-Claws Scorpion,Effect Monster,effect,Once per turn  you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster  this card's ATK becomes 2400 during damage calculation only.,2.0,300.0,200.0,Insect,DARK,
24140059,A Cat of Ill Omen,Flip Effect Monster,effect,"FLIP: Choose 1 Trap from your Deck and place it on top of your Deck  or  if ""Necrovalley"" is on the field  you can add that Trap to your hand instead.",2.0,500.0,300.0,Beast,DARK,
51351302,A Man with Wdjat,Effect Monster,effect,When you Normal Summon this card  and during each of your Standby Phases  select 1 Set card on your opponent's side of the field. Pick it up and look at it  then return it to its original position.,4.0,1600.0,1600.0,Spellcaster,DARK,
1966438,Abominable Unchained Soul,Effect Monster,effect,"You can only Special Summon ""Abominable Unchained Soul(s)"" once per turn. If a card(s) you control is destroyed by battle or card effect: You can Special Summon this card from your hand. If this card is Special Summoned: You can discard 1 card; destroy 1 card on the field. Once per turn  during the End Phase  if this card is in the GY because it was destroyed on the field and sent there this turn: You can Special Summon this card  but place it on the bottom of the Deck when it leaves the field.",8.0,3000.0,1500.0,Fiend,DARK,
60990740,Absolute King Back Jack,Effect Monster,effect,"During your opponent's turn (Quick Effect): You can banish this card from the GY; excavate the top card of your Deck  and if it is a Normal Trap  Set it to your field. Otherwise  send it to the GY. That Set card can be activated during this turn. If this card is sent to the GY: You can look at 3 cards from the top of your Deck  then place them on the top of the Deck in any order. You can only use each effect of ""Absolute King Back Jack"" once per turn.",1.0,0.0,0.0,Fiend,DARK,
67748760,Absorouter Dragon,Effect Monster,effect,"If you control a ""Rokket"" monster  you can Special Summon this card (from your hand). You can only Special Summon ""Absorouter Dragon"" once per turn this way. If this card is sent to the GY: You can add 1 ""Rokket"" monster from your Deck to your hand. You can only use this effect of ""Absorouter Dragon"" once per turn.",7.0,1200.0,2800.0,Dragon,DARK,Rokket
15308295,Abyss Actor - Comic Relief,Pendulum Effect Monster,effect_pendulum,"[ Pendulum Effect ]  You can target 1 ""Abyss Actor"" Pendulum Monster you control and 1 monster your opponent controls; switch control of both monsters  then destroy this card. You can only use this effect of ""Abyss Actor - Comic Relief"" once per turn. [ Monster Effect ]  You take no battle damage from attacks involving this card. Once per turn  during your Standby Phase: Give control of this card to your opponent. Once per turn  if control of this face-up card changes: Activate this effect; the owner of this card can destroy 1 Set ""Abyss Script"" Spell in their Spell & Trap Zone.",3.0,1000.0,2000.0,Fiend,DARK,Abyss Actor
44179224,Abyss Actor - Curtain Raiser,Pendulum Effect Monster,effect_pendulum,"[ Pendulum Effect ]  If you control no monsters: You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Abyss Actor - Curtain Raiser"" once per Duel. [ Monster Effect ]  Gains 1100 ATK if you control no other monsters. Once per turn: You can send 1 ""Abyss Script"" Spell from your Deck to the GY; add 1 face-up ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand.",4.0,1100.0,1000.0,Fiend,DARK,Abyss Actor
52240819,Abyss Actor - Evil Heel,Pendulum Effect Monster,effect_pendulum,"[ Pendulum Effect ]  Once per turn: You can Tribute 1 ""Abyss Actor"" monster  then target 1 face-up monster your opponent controls; it loses ATK equal to the original ATK of the Tributed monster  until the end of this turn (even if this card leaves the field). [ Monster Effect ]  If this card is Normal or Special Summoned: You can target 1 face-up monster your opponent controls; it loses 1000 ATK for each ""Abyss Actor"" monster you currently control  until the end of this turn. When this card destroys an opponent's monster by battle: You can target 1 ""Abyss Script"" Spell Card in your Graveyard; Set that card.",8.0,3000.0,2000.0,Fiend,DARK,Abyss Actor
88412339,Abyss Actor - Extras,Pendulum Effect Monster,effect_pendulum,"[ Pendulum Effect ]  If your opponent controls a monster: You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Abyss Actor - Extras"" once per turn. [ Monster Effect ]  You can Tribute this card; place 1 ""Abyss Actor"" Pendulum Monster from your Deck in your Pendulum Zone  also for the rest of this turn  you cannot Special Summon monsters  except ""Abyss Actor"" monsters  nor activate the Pendulum Effect of ""Abyss Actor - Extras"". You can only use this effect of ""Abyss Actor - Extras"" once per turn.",1.0,100.0,100.0,Fiend,DARK,Abyss Actor
