id,name,type,frameType,description,level,atk,def,race,attribute,archetype
86988864,3-Hump Lacooda,Effect Monster,effect,"If there are 3 face-up ""3-Hump Lacooda"" cards on your side of the field  Tribute 2 of them to draw 3 cards.",3.0,500.0,1500.0,Beast,EARTH,
89718302,Abare Ushioni,Effect Monster,effect,Once per turn  you can toss a coin and call it. If you call it right  inflict 1000 damage to your opponent. If you call it wrong  you take 1000 damage.,4.0,1200.0,1200.0,Beast-Warrior,EARTH,
70832512,Absolute Crusader,Effect Monster,effect,If a Level 5 or higher monster(s) is Special Summoned: Tribute this face-up card; destroy that Level 5 or higher monster(s).,4.0,1800.0,1200.0,Warrior,EARTH,
27553701,Absolute King - Megaplunder,Normal Monster,normal,''The king of dinosaurs that rules over the Earth. Its mighty roar makes its foes tremble in fear!'',6.0,2000.0,1500.0,Dinosaur,EARTH,
3900605,Absorbing Jar,Flip Effect Monster,effect,FLIP: Destroy all Set Spell/Trap Cards on the field  then each player draws 1 card for each of the cards they controlled that was destroyed by this effect. You cannot Set any cards this turn.,3.0,600.0,500.0,Rock,EARTH,
40387124,Abyss Flower,Normal Monster,normal,A rarely seen flower that blossoms quietly on the edge of darkness.,2.0,750.0,400.0,Plant,EARTH,
77568553,Acid Crawler,Normal Monster,normal,A giant caterpillar that secretes an acid mist that melts anything.,3.0,900.0,700.0,Insect,EARTH,
21051977,Acorno,Effect Monster,effect,"During your Main Phase: You can send 1 ""Pinecono"" from your hand to the Graveyard  and Special Summon this card from the hand.",1.0,200.0,400.0,Plant,EARTH,
47372349,Acrobat Monkey,Normal Monster,normal,An autonomous monkey type robot which was developed with cutting-edge technology. It moves very acrobatically.,3.0,1000.0,1800.0,Machine,EARTH,
11302671,Adamancipator Analyzer,Tuner Monster,effect,"If only your opponent controls a monster: You can Special Summon this card from your hand. During your Main Phase: You can excavate the top 5 cards of your Deck  and if you do  you can Special Summon 1 excavated Level 4 or lower non-Tuner Rock monster  also place the rest on the bottom of your Deck in any order. You can only use each effect of ""Adamancipator Analyzer"" once per turn.",4.0,1500.0,700.0,Rock,EARTH,Adamancipator
85914562,Adamancipator Researcher,Tuner Monster,effect,"If you control a Rock monster  except ""Adamancipator Researcher"": You can Special Summon this card from your hand. During your Main Phase: You can excavate the top 5 cards of your Deck  and if you do  you can Special Summon 1 excavated Level 4 or lower non-Tuner Rock monster  also place the rest on the bottom of your Deck in any order. You can only use each effect of ""Adamancipator Researcher"" once per turn.",2.0,100.0,2100.0,Rock,EARTH,Adamancipator
48519867,Adamancipator Seeker,Tuner Monster,effect,"If you control an ""Adamancipator"" monster  except ""Adamancipator Seeker"": You can Special Summon this card from your hand. During your Main Phase: You can excavate the top 5 cards of your Deck  and if you do  you can Special Summon 1 excavated Level 4 or lower non-Tuner Rock monster  also place the rest on the bottom of your Deck in any order. You can only use each effect of ""Adamancipator Seeker"" once per turn.",2.0,1200.0,1000.0,Rock,EARTH,Adamancipator
18847598,Advanced Crystal Beast Amber Mammoth,Effect Monster,effect,"If ""Advanced Dark"" is not in a Field Zone  send this monster to the GY. Once per turn  when your opponent activates a card or effect that targets your ""Advanced Crystal Beast"" card(s) or ""Advanced Dark"" (Quick Effect): You can negate the activation. Once per turn  when your ""Advanced Crystal Beast"" monster is targeted for an attack: You can negate that attack. If this face-up card is destroyed in a Monster Zone  you can place it face-up in your Spell & Trap Zone as a Continuous Spell  instead of sending it to the GY.",4.0,1700.0,1600.0,Beast,EARTH,Advanced Crystal Beast
19963185,Advanced Crystal Beast Amethyst Cat,Effect Monster,effect,"If ""Advanced Dark"" is not in a Field Zone  send this monster to the GY. Your ""Advanced Crystal Beast"" monsters can attack directly  but when they do so using this effect  the battle damage inflicted to your opponent is halved. If this face-up card is destroyed in a Monster Zone  you can place it face-up in your Spell & Trap Zone as a Continuous Spell  instead of sending it to the GY.",3.0,1200.0,400.0,Beast,EARTH,Advanced Crystal Beast
72843899,Advanced Crystal Beast Topaz Tiger,Effect Monster,effect,"If ""Advanced Dark"" is not in a Field Zone  send this monster to the GY. All ""Advanced Crystal Beast"" monsters you control gain 400 ATK/DEF  also monsters your opponent controls lose 400 ATK/DEF. If this face-up card is destroyed in a Monster Zone  you can place it face-up in your Spell & Trap Zone as a Continuous Spell  instead of sending it to the GY.",4.0,1600.0,1000.0,Beast,EARTH,Advanced Crystal Beast
2411269,Agave Dragon,Link Monster,link,"2+ monsters  except Tokens  If this card is Link Summoned: You can apply these effects in sequence  depending on the Types of monsters in the GYs (skip over any that do not apply). You can only use this effect of ""Agave Dragon"" once per turn.  ● Inflict 100 damage to your opponent for each Dragon.  ● This card gains 200 ATK for each Dinosaur.  ● All monsters your opponent currently controls lose 300 ATK for each Sea Serpent.  ● You gain 400 LP for each Wyrm.",,3000.0,,Wyrm,EARTH,
16135253,Agido,Effect Monster,effect,When this card is destroyed and sent to the Graveyard as a result of battle  roll a six-sided die. You can Special Summon 1 Fairy-Type monster from your Graveyard whose Level is equal to the number rolled. (If the result is 6  you can Special Summon a Level 6 or higher monster.),4.0,1500.0,1300.0,Fairy,EARTH,
62320425,Agido the Ancient Sentinel,Effect Monster,effect,"If a card(s) is sent from the hand or Deck to your opponent's GY (except during the Damage Step): You can Special Summon this card from your hand  then you can Special Summon 1 Level 4 EARTH Fairy monster from your GY  except ""Agido the Ancient Sentinel"". If this card is sent from the hand or Deck to the GY: You can activate this effect; each player sends the top 5 cards of their Deck to the GY (or their entire Deck  if less than 5)  then  if ""Exchange of the Spirit"" is in your GY  you can send 5 more cards from the top of either player's Deck to the GY. You can only use each effect of ""Agido the Ancient Sentinel"" once per turn.",4.0,1500.0,1300.0,Fairy,EARTH,Exchange of the Spirit
38837163,"Akz, the Pumer",Effect Monster,effect,This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 2 Beast-Warrior-Type monsters in your Graveyard. Once per turn  you can discard 1 Beast-Warrior-Type monster to activate 1 of the following effects: ● Double this card's ATK until the End Phase. ● This card can attack your opponent directly this turn.,6.0,1500.0,1000.0,Beast-Warrior,EARTH,
45154513,Alghoul Mazera,Effect Monster,effect,"If a Zombie monster(s) you control would be destroyed by battle or card effect  you can banish this card from your hand or GY instead. If this card is banished from the hand or GY: You can Special Summon this card in Defense Position  then you can reduce its Level by 1. You can only use each effect of ""Alghoul Mazera"" once per turn.",8.0,2800.0,2300.0,Zombie,EARTH,Zera
76573247,Alien Infiltrator,Effect Monster,effect,Once per turn  this card can move to an adjacent (horizontal) unoccupied Monster Card Zone. If no Spell  Trap or Monster Card on your opponent's side of the field is in the same column as this card  it can attack your opponent directly.,2.0,800.0,500.0,Reptile,EARTH,Alien
