id,name,type,frameType,description,level,atk,def,race,attribute,archetype
13026402,A-Team: Trap Disposal Unit,Effect Monster,effect,This effect can be used during either player's turn. When your opponent activates a Trap Card  Tribute this face-up card to negate the activation of the Trap Card and destroy it.,2.0,300.0,400.0,Machine,FIRE,
12694768,Abaki,Effect Monster,effect,When this card is destroyed and sent to the Graveyard by battle  both players take 500 damage.,4.0,1700.0,1100.0,Fiend,FIRE,
98865920,Achacha Archer,Effect Monster,effect,When this card is Normal or Flip Summoned: Inflict 500 damage to your opponent.,3.0,1200.0,600.0,Warrior,FIRE,
62476197,Achacha Chanbara,Effect Monster,effect,During either player's turn  when a card or effect is activated that will inflict damage when it resolves: You can Special Summon this card from your hand  and if you do  inflict 400 damage to your opponent.,3.0,1400.0,400.0,Warrior,FIRE,
15808381,Achichi @Ignister,Effect Monster,effect,"If this card is Normal or Special Summoned: You can add 1 Level 4 or lower ""@Ignister"" monster from your Deck to your hand  except ""Achichi @Ignister"". At the start of the Damage Step  when your Cyberse monster battles: You can banish this card from your GY; destroy that monster you control. You can only use each effect of ""Achichi @Ignister"" once per turn.",2.0,800.0,800.0,Cyberse,FIRE,@Ignister
47897376,Adamancipator Crystal - Leonite,Effect Monster,effect,"If this card is Special Summoned by the effect of an ""Adamancipator"" card: You can place 1 ""Adamancipator"" card from your hand or GY on top of the Deck. If this card is in your GY: You can target 1 FIRE Synchro Monster you control or in your GY; return it to the Extra Deck  and if you do  place this card on top of the Deck. You can only use each effect of ""Adamancipator Crystal - Leonite"" once per turn.",4.0,0.0,2200.0,Rock,FIRE,Adamancipator
47674738,Adamancipator Risen - Leonite,Synchro Monster,synchro,"1 Tuner + 1+ non-Tuner monsters  During your Main Phase: You can excavate the top 5 cards of your Deck  and if you do  you can add 1 excavated ""Adamancipator"" card to your hand  also place the rest on the bottom of your Deck in any order. During your opponent's turn  if a FIRE monster is in your GY (Quick Effect): You can target 1 Rock monster in your GY; Special Summon it. You can only use each effect of ""Adamancipator Risen - Leonite"" once per turn.",6.0,2400.0,2200.0,Rock,FIRE,Adamancipator
13014905,Agnimal Candle,Tuner Monster,effect,"If this card is added to your hand  except by drawing it: You can Special Summon this card. You can only use this effect of ""Agnimal Candle"" once per turn. Once per Chain  up to thrice per turn  if a monster is sent to your GY (except during the Damage Step): You can increase or decrease this card's Level by 1.",4.0,1700.0,0.0,Pyro,FIRE,
48202661,Aitsu,Normal Monster,normal,He seems to be very unreliable  but he might have incredible potential.,5.0,100.0,100.0,Fairy,FIRE,
99532708,Alien Mars,Effect Monster,effect,"The effects of Effect Monsters with A-Counters are negated  except for ""Alien Mars"".",3.0,1000.0,1000.0,Reptile,FIRE,Alien
91070115,Alien Telepath,Effect Monster,effect,"Once per turn  you can remove 1 A-Counter from an opponent's monster to destroy 1 Spell or Trap Card. (If a monster with an A-Counter battles an ""Alien"" monster  it loses 300 ATK and DEF for each A-Counter during damage calculation only.)",4.0,1600.0,1000.0,Reptile,FIRE,Alien
1508649,Altergeist Hexstia,Link Monster,link,"2 ""Altergeist"" monsters  Gains ATK equal to the original ATK of each ""Altergeist"" monster it points to. When a Spell/Trap Card or effect is activated (Quick Effect): You can Tribute 1 ""Altergeist"" monster this card points to; negate the activation  and if you do  destroy that card. If this card is sent from the field to the GY: You can add 1 ""Altergeist"" card from your Deck to your hand. You can only use this effect of ""Altergeist Hexstia"" once per turn.",,1500.0,,Spellcaster,FIRE,Altergeist
54126514,Altergeist Peritrator,Effect Monster,effect,"This card can attack directly. You can only use each of the following effects of ""Altergeist Peritrator"" once per turn. When this card inflicts battle damage to your opponent: You can draw 1 card. If this card is sent from the field to the GY: You can send 1 ""Altergeist"" card from your hand  Deck  or face-up field to the GY  except ""Altergeist Peritrator"".",1.0,500.0,300.0,Spellcaster,FIRE,Altergeist
98927491,Ambulance Rescueroid,Fusion Monster,fusion,"""Rescueroid"" + ""Ambulanceroid"" This monster cannot be Special Summoned except by Fusion Summon. Once per turn  when a monster on your side of the field is destroyed by battle and sent to the Graveyard  you can Special Summon that monster in Defense Position.",6.0,2300.0,1800.0,Machine,FIRE,Roid
20665527,Amphibious Swarmship Amblowhale,Link Monster,link,"2+ Effect Monsters  Gains 200 ATK for each Link Monster in the GYs. You can only use each of the following effects of ""Amphibious Swarmship Amblowhale"" once per turn.  ● If this card is destroyed: You can target 1 Link-3 or lower monster in either GY; Special Summon it.  ● If a Link-3 or lower monster(s) on the field is destroyed by battle or card effect while this card is in your GY: You can banish this card from your GY; destroy 1 card on the field.",,2600.0,,Machine,FIRE,
26304459,Ancient Flamvell Deity,Synchro Monster,synchro,1 FIRE Tuner + 1 or more non-Tuner Pyro-Type monsters When this card is Synchro Summoned  remove from play cards from your opponent's Graveyard up to the number of cards in their hand. This card gains 200 ATK for each card removed from play by this effect.,7.0,2500.0,200.0,Pyro,FIRE,Flamvell
33545259,Ancient Warriors - Ambitious Cao De,Effect Monster,effect,"While you control another ""Ancient Warriors"" monster  your opponent cannot target this card with card effects  also it cannot be destroyed by your opponent's card effects. You can only use each of the following effects of ""Ancient Warriors - Ambitious Cao De"" once per turn.  ● If a card(s) your opponent controls is destroyed by battle or card effect: You can send 1 other card from your hand or field to the GY; Special Summon this card from your hand.  ● When this card destroys an opponent's monster by battle and sends it to the GY: You can Special Summon that monster to your field in Defense Position.",8.0,3000.0,2500.0,Beast-Warrior,FIRE,Ancient Warriors
6438003,Ancient Warriors - Deceptive Jia Wen,Effect Monster,effect,"You can target 1 Continuous Spell/Trap you control; send it to the GY  and if you do  halve the ATK of 2 face-up monsters on the field  until the end of this turn. If a card(s) your opponent controls is destroyed by battle or card effect: You can target 1 ""Ancient Warriors"" card in your GY  except ""Ancient Warriors - Deceptive Jia Wen""; add it to your hand. You can only use each effect of ""Ancient Warriors - Deceptive Jia Wen"" once per turn.",4.0,1100.0,1800.0,Beast-Warrior,FIRE,Ancient Warriors
60033398,Ancient Warriors - Fearsome Zhang Yuan,Effect Monster,effect,"All other ""Ancient Warriors"" monsters you control cannot be destroyed by battle. You can only use each of the following effects of ""Ancient Warriors - Fearsome Zhang Yuan"" once per turn.  ● At the start of the Damage Step  when your ""Ancient Warriors"" monster battles an opponent's face-up monster: You can Special Summon this card from your hand  and if you do  that opponent's monster loses 1000 ATK.  ● If a card(s) your opponent controls is destroyed by battle or card effect: You can target 1 card your opponent controls; destroy it.",6.0,2300.0,2000.0,Beast-Warrior,FIRE,Ancient Warriors
36320744,"Angelica, Princess of Noble Arms",Synchro Monster,synchro,"1 Tuner + 1+ non-Tuner monsters  If this card is Special Summoned: You can add 1 ""Horn of Olifant""  or 1 card that mentions ""Infernoble Knight Emperor Charles""  from your Deck to your hand. When a card or effect is activated that targets this card on the field  or when this card is targeted for an attack (Quick Effect): You can send 1 FIRE Warrior monster from your Deck to the GY  and if you do  banish this card (until the End Phase)  then you can Special Summon 1 ""Roland"" monster from your Deck or Extra Deck. You can only use each effect of ""Angelica  Princess of Noble Arms"" once per turn.",5.0,1200.0,2400.0,Warrior,FIRE,Noble Arms
56132807,Apple Magician Girl,Effect Monster,effect,"Once per turn  if this card is targeted for an attack: You can Special Summon 1 Level 5 or lower Spellcaster-Type monster from your hand  then change the attack target to it  and if you do  the attacking monster's ATK becomes half its current ATK. If this card is destroyed by battle or card effect: You can target up to 3 other ""Magician Girl"" monsters with different names in your Graveyard; add them to your hand.",3.0,1200.0,800.0,Spellcaster,FIRE,Magician Girl
3507053,Appliancer Dryer Drake,Link Monster,link,"1 ""Appliancer"" monster  Cannot be used as Link Material the turn it is Link Summoned. This linked card gains 1000 ATK. Once per turn  during your Battle Phase  if this card is co-linked (except during the Damage Step): You can switch the locations of 2 ""Appliancer"" monsters in your Main Monster Zones  including this card  and if you do  the other monster can make a second attack during each Battle Phase this turn. Once per turn  when this card that is not co-linked is targeted for an attack: You can negate that attack.",,0.0,,Machine,FIRE,Appliancer
40048324,Arcane Apprentice,Tuner Monster,effect,"If this card is sent to the Graveyard for a Synchro Summon  you can add 1 ""Assault Mode Activate"" from your Deck to your hand.",2.0,1000.0,400.0,Spellcaster,FIRE,Assault Mode
