id,name,type,frameType,description,level,atk,def,race,attribute,archetype
30012506,A-Assault Core,Union Effect Monster,effect,Once per turn  you can either: Target 1 LIGHT Machine monster you control; equip this card to that target  OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's monster effects (except its own)  also if the equipped monster would be destroyed by battle or card effect  destroy this card instead. If this card is sent from the field to the GY: You can add 1 other Union monster from your GY to your hand.,4.0,1900.0,200.0,Machine,LIGHT,ABC
65172015,A-to-Z-Dragon Buster Cannon,Fusion Monster,fusion,"""ABC-Dragon Buster"" + ""XYZ-Dragon Cannon"" Must be Special Summoned (from your Extra Deck) by banishing cards you control with the above original names  and cannot be Special Summoned by other ways. (You do not use ""Polymerization"".) During either player's turn  when your opponent activates a Spell/Trap Card  or monster effect: You can discard 1 card; negate the activation  and if you do  destroy that card. During either player's turn: You can banish this card  then target 1 each of your banished ""ABC-Dragon Buster""  and ""XYZ-Dragon Cannon""; Special Summon them.",10.0,4000.0,4000.0,Machine,LIGHT,ABC
96146814,A/D Changer,Effect Monster,effect,You can banish this card from your Graveyard  then target 1 monster on the field; change its battle position.,1.0,100.0,100.0,Warrior,LIGHT,
1561110,ABC-Dragon Buster,Fusion Monster,fusion,"""A-Assault Core"" + ""B-Buster Drake"" + ""C-Crush Wyvern""  Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control and/or from your GY. (You do not use ""Polymerization"".) Once per turn (Quick Effect): You can discard 1 card  then target 1 card on the field; banish it. During your opponent's turn (Quick Effect): You can Tribute this card  then target 3 of your banished LIGHT Machine Union monsters with different names; Special Summon them.",8.0,3000.0,2800.0,Machine,LIGHT,ABC
49771608,Absorbing Kid from the Sky,Effect Monster,effect,When this card destroys a monster and sends it to the Graveyard as a result of battle  increase your Life Points by the Level of the destroyed monster x 300 points.,4.0,1300.0,1000.0,Fairy,LIGHT,
83575471,Advanced Crystal Beast Ruby Carbuncle,Effect Monster,effect,"If ""Advanced Dark"" is not in a Field Zone  send this monster to the GY. If this face-up card is destroyed in a Monster Zone  you can place it face-up in your Spell & Trap Zone as a Continuous Spell  instead of sending it to the GY. While this card is treated as a Continuous Spell: You can Special Summon this card  then you can Special Summon as many ""Advanced Crystal Beast"" Monster Cards as possible from your Spell & Trap Zones. You can only use this effect of ""Advanced Crystal Beast Ruby Carbuncle"" once per turn.",3.0,300.0,300.0,Fairy,LIGHT,Advanced Crystal Beast
56804361,"Aether, the Empowering Dragon",Effect Monster,effect,"When this card is Pendulum Summoned: You can target 1 card on the field; return it to the hand. You can only use this effect of ""Aether  the Empowering Dragon"" once per turn.",6.0,2300.0,1600.0,Dragon,LIGHT,Aether
18036057,Airknight Parshath,Effect Monster,effect,If this card attacks a Defense Position monster  inflict piercing battle damage. If this card inflicts battle damage to your opponent: Draw 1 card.,5.0,1900.0,1400.0,Fairy,LIGHT,Parshath
38811586,Albion the Sanctifire Dragon,Fusion Monster,fusion,"""Fallen of Albaz"" + 1 LIGHT Spellcaster monster  Cannot be used as Fusion Material. Your opponent cannot target this card with card effects. You can only use each of the following effects of ""Albion the Sanctifire Dragon"" once per turn. During your opponent's turn (Quick Effect): You can target 2 monsters in any GY(s); Special Summon both monsters  1 to each field. If this card is in your GY: You can Tribute 4 monsters  the 2 in the Extra Monster Zones and the 2 in the central Main Monster Zones  and if you do  Special Summon this card.",8.0,3000.0,2500.0,Dragon,LIGHT,Albaz Dragon
43096270,Alexandrite Dragon,Normal Monster,normal,Many of the czars' lost jewels can be found in the scales of this priceless dragon. Its creator remains a mystery  along with how they acquired the imperial treasures. But whosoever finds this dragon has hit the jackpot... whether they know it or not.,4.0,2000.0,100.0,Dragon,LIGHT,
