id,name,type,frameType,description,level,atk,def,race,attribute,archetype
11714098,"30,000-Year White Turtle",Normal Monster,normal,A huge turtle that has existed for more than 30 000 years.,5.0,1250.0,2100.0,Aqua,WATER,
23771716,7 Colored Fish,Normal Monster,normal,A rare rainbow fish that has never been caught by mortal man.,4.0,1800.0,800.0,Fish,WATER,
21044178,Abyss Dweller,XYZ Monster,xyz,2 Level 4 monsters While this card has a material attached that was originally WATER  all WATER monsters you control gain 500 ATK. Once per turn (Quick Effect): You can detach 1 material from this card; your opponent cannot activate any card effects in their GY this turn.,4.0,1700.0,1400.0,Sea Serpent,WATER,
82184400,Abyss Keeper,Link Monster,link,"2 WATER monsters  Cannot be used as Link Material the turn it is Link Summoned. If this card is Link Summoned: You can Special Summon 1 Fish monster from your hand to your zone this card points to. You can target 1 other Fish monster you control and 1 card your opponent controls; banish those cards. You can only use each effect of ""Abyss Keeper"" once per turn.",,1500.0,,Fish,WATER,
61496006,Abyss Shark,Effect Monster,effect,"If this card is used for the Xyz Summon of a ""Number"" monster  it can be treated as a Level 3 or 4 monster. If all monsters you control are WATER (min. 1): You can Special Summon this card from your hand  and if you do  add 1 Level 3  4  or 5 Fish monster from your Deck to your hand  except ""Abyss Shark"". For the rest of this turn  you cannot Special Summon monsters  except WATER monsters  also  double the first battle damage inflicted to your opponent this turn by your ""Number"" monster battling another monster. You can only use this effect of ""Abyss Shark"" once per turn.",5.0,1200.0,700.0,Fish,WATER,Abyss-
18318842,Abyss Soldier,Effect Monster,effect,Once per turn: You can discard 1 WATER monster to the Graveyard to target 1 card on the field; return it to the hand.,4.0,1800.0,1300.0,Aqua,WATER,
88409165,Abyss Warrior,Effect Monster,effect,Once per turn: You can discard 1 WATER monster to the Graveyard  then target 1 monster in either player's Graveyard; return that target to either the top or bottom of the Deck.,4.0,1800.0,1300.0,Aqua,WATER,
44223284,Abyssal Kingshark,Effect Monster,effect,Once per turn  if this card would be destroyed by an effect that does not target it  it is not destroyed.,4.0,1700.0,600.0,Fish,WATER,
10286023,Adamancipator Crystal - Dragite,Effect Monster,effect,"If this card is Special Summoned by the effect of an ""Adamancipator"" card: You can draw 1 card. If this card is in your GY: You can target 1 WATER Synchro Monster you control or in your GY; return it to the Extra Deck  and if you do  place this card on top of the Deck. You can only use each effect of ""Adamancipator Crystal - Dragite"" once per turn.",4.0,0.0,2200.0,Rock,WATER,Adamancipator
9464441,Adamancipator Risen - Dragite,Synchro Monster,synchro,"1 Tuner + 1+ non-Tuner monsters  During your Main Phase: You can excavate the top 5 cards of your Deck  and if you do  you can return cards your opponent controls to the hand  up to the number of excavated Rock monsters  also place the excavated cards on the bottom of your Deck in any order. When your opponent activates a Spell/Trap Card or effect  while a WATER monster is in your GY (Quick Effect): You can negate the activation  and if you do  destroy it. You can only use each effect of ""Adamancipator Risen - Dragite"" once per turn.",8.0,3000.0,2200.0,Rock,WATER,Adamancipator
15464375,Adularia of the June Moon,Effect Monster,effect,"If you control a face-up card in your Spell & Trap Zone  you can Special Summon this card (from your hand). You can only Special Summon ""Adularia of the June Moon"" once per turn this way. Gains 600 ATK/DEF for each face-up Spell/Trap on the field. You can send 2 face-up cards from your Spell & Trap Zone to the GY; send 1 Level 4 or lower monster from your Deck to the GY. You can only use this effect of ""Adularia of the June Moon"" once per turn.",5.0,1000.0,1000.0,Spellcaster,WATER,
46358784,Advanced Crystal Beast Emerald Tortoise,Effect Monster,effect,"If ""Advanced Dark"" is not in a Field Zone  send this monster to the GY. Once per turn (Quick Effect): You can target 1 face-up monster on the field; change its battle position. If this face-up card is destroyed in a Monster Zone  you can place it face-up in your Spell & Trap Zone as a Continuous Spell  instead of sending it to the GY.",3.0,600.0,2000.0,Aqua,WATER,Advanced Crystal Beast
10678778,Aegaion the Sea Castrum,XYZ Monster,xyz,"2 Level 8 monsters During either player's turn: You can banish 1 random face-down monster from your opponent's Extra Deck  face-up  and if you do  this card's ATK becomes equal to the banished monster's. During either player's turn: You can detach 1 Xyz Material from this card  then target 1 of your opponent's banished Fusion  Synchro  or Xyz Monsters; return it to the Extra Deck  and if you do  destroy 1 monster your opponent controls with the same monster card type (Fusion  Synchro  or Xyz). You can only use each effect of ""Aegaion the Sea Castrum"" once per turn.",8.0,0.0,3000.0,Machine,WATER,
36904469,Akihiron,Normal Monster,normal,This strange creature hides in the deep  dark corners of the seven seas.,5.0,1700.0,1400.0,Aqua,WATER,
62315111,Alien Hunter,Effect Monster,effect,If this card destroys a monster with an A-Counter by battle  it can attack once again in a row.,4.0,1600.0,800.0,Reptile,WATER,Alien
38468214,Alien Hypno,Gemini Monster,effect,This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field  you can Normal Summon it to have it be treated as an Effect Monster with this effect: ● During your Main Phase  you can select 1 monster your opponent controls with an A-Counter(s)  and take control of it while this card is on the field. During each of your End Phases  remove 1 A-Counter from each controlled monster. If all A-Counters are removed from one of these monsters  destroy it.,4.0,1600.0,700.0,Reptile,WATER,Alien
85673903,Altergeist Fijialert,Effect Monster,effect,"When an ""Altergeist"" Link Monster is Link Summoned to your field (except during the Damage Step): You can target 1 other Link Monster on the field; Special Summon this card from your hand to your zone that target points to  also  for the rest of this turn  that monster is also treated as an ""Altergeist"" monster. You can only use this effect of ""Altergeist Fijialert"" once per turn.",4.0,1400.0,1200.0,Spellcaster,WATER,Altergeist
25533642,Altergeist Meluseek,Effect Monster,effect,"This card can attack directly. When this card inflicts battle damage to your opponent: You can target 1 card your opponent controls; send it to the GY. If this card is sent from the field to the GY: You can add 1 ""Altergeist"" monster from your Deck to your hand  except ""Altergeist Meluseek"". You can only use this effect of ""Altergeist Meluseek"" once per turn.",1.0,500.0,300.0,Spellcaster,WATER,Altergeist
2139640,Amabie,Effect Monster,effect,At the start of your Main Phase 1: You can reveal this card in your hand; each player gains 300 LP.,3.0,0.0,0.0,Fairy,WATER,
17968114,Amazon of the Seas,Normal Monster,normal,A mermaid who serves as a herald to the Ocean Lord. She protects the sacred domain of Atlantis.,4.0,1300.0,1400.0,Fish,WATER,
95174353,Ameba,Effect Monster,effect,When the control of this face-up card on the field shifts to your opponent  inflict 2000 points of damage to your opponent's Life Points. This effect can only be used once as long as this card remains face-up on the field.,1.0,300.0,350.0,Aqua,WATER,
67371383,Amphibian Beast,Normal Monster,normal,On land or in the sea  the speed of this monster is unmatchable.,6.0,2400.0,2000.0,Fish,WATER,
40173854,Amphibious Bugroth,Fusion Monster,fusion,"""Ground Attacker Bugroth"" + ""Defender of the Sea""",5.0,1850.0,1300.0,Aqua,WATER,
4754691,Amphibious Bugroth MK-11,Effect Monster,effect,"While ""Umi"" is not on the field  this card gains 700 ATK  also it cannot attack directly. While ""Umi"" is on the field: You can target 1 face-up non-WATER monster on the field; destroy it. You can only use this effect of ""Amphibious Bugroth MK-11"" once per turn.",5.0,1850.0,1500.0,Machine,WATER,Bugroth
64342551,Amphibious Bugroth MK-3,Effect Monster,effect,"While ""Umi"" is face-up on the field  this card can attack your opponent's Life Points directly.",4.0,1500.0,1300.0,Machine,WATER,Umi
13923256,Ancient Warriors - Eccentric Lu Jing,Effect Monster,effect,"You can target 1 Continuous Spell/Trap you control; send it to the GY  and if you do  add 1 ""Ancient Warriors"" Spell/Trap with a different name from your GY to your hand. If your other ""Ancient Warriors"" monster's effect is activated (except during the Damage Step): You can target 1 Spell/Trap your opponent controls; destroy it. You can only use each effect of ""Ancient Warriors - Eccentric Lu Jing"" once per turn.",4.0,700.0,2000.0,Beast-Warrior,WATER,Ancient Warriors
