id,name,type,frameType,description,level,atk,def,race,attribute,archetype
83994646,4-Starred Ladybug of Doom,Flip Effect Monster,effect,FLIP: Destroy all Level 4 monsters your opponent controls.,3.0,800.0,1200.0,Insect,WIND,
30983281,Accel Synchro Stardust Dragon,Synchro Monster,synchro,"1 Tuner + 1+ non-Tuner monsters  If this card is Synchro Summoned: You can Special Summon 1 Level 2 or lower Tuner from your GY. During the Main Phase (Quick Effect): You can Tribute this card; Special Summon 1 ""Stardust Dragon"" from your Extra Deck (this is treated as a Synchro Summon)  then  immediately after this effect resolves  Synchro Summon 1 Synchro Monster using monsters you control as material. This turn  the monsters Synchro Summoned by this effect are unaffected by your opponent's activated effects. You can only use each effect of ""Accel Synchro Stardust Dragon"" once per turn.",8.0,2500.0,2000.0,Dragon,WIND,Stardust
74891384,Adamancipator Crystal - Raptite,Effect Monster,effect,"If this card is Special Summoned by the effect of an ""Adamancipator"" card: You can place 1 Rock monster from your hand or GY on top of the Deck. If this card is in your GY: You can target 1 WIND Synchro Monster you control or in your GY; return it to the Extra Deck  and if you do  place this card on top of the Deck. You can only use each effect of ""Adamancipator Crystal - Raptite"" once per turn.",4.0,0.0,2200.0,Rock,WIND,Adamancipator
73079836,Adamancipator Risen - Raptite,Synchro Monster,synchro,"1 Tuner + 1+ non-Tuner monsters  During your Main Phase: You can excavate the top 5 cards of your Deck  and if you do  you can Special Summon 1 excavated Rock monster in Defense Position  also place the rest on the bottom of your Deck in any order. During your opponent's turn  if a WIND monster is in your GY (Quick Effect): You can target 1 card in your opponent's GY; banish it. You can only use each effect of ""Adamancipator Risen - Raptite"" once per turn.",6.0,2200.0,2800.0,Rock,WIND,Adamancipator
53828396,Adhesive Explosive,Effect Monster,effect,Before damage calculation  if this card was attacked by an opponent's monster and was in face-down Defense Position at the start of the Damage Step: Equip this card to the attacking monster. Then  during your opponent's next Standby Phase  destroy the monster this card is equipped to.,3.0,1000.0,1000.0,Machine,WIND,
45236142,Advanced Crystal Beast Cobalt Eagle,Effect Monster,effect,"If ""Advanced Dark"" is not in a Field Zone  send this monster to the GY. You can send this card from your hand or field to the GY; add 1 ""Advanced Dark"" from your Deck to your hand. Once per turn: You can target 1 ""Advanced Crystal Beast"" card you control; return it to the hand or place it on top of the Deck. If this face-up card is destroyed in a Monster Zone  you can place it face-up in your Spell & Trap Zone as a Continuous Spell  instead of sending it to the GY.",4.0,1400.0,800.0,Winged Beast,WIND,Advanced Crystal Beast
71620241,Advanced Crystal Beast Sapphire Pegasus,Effect Monster,effect,"If ""Advanced Dark"" is not in a Field Zone  send this monster to the GY. If this card is Summoned: You can place 1 of your ""Advanced Crystal Beast"" monsters that is banished  or in your hand  Deck  or GY  face-up in your Spell & Trap Zone as a Continuous Spell. If this face-up card is destroyed in a Monster Zone  you can place it face-up in your Spell & Trap Zone as a Continuous Spell  instead of sending it to the GY.",4.0,1800.0,1200.0,Beast,WIND,Advanced Crystal Beast
83094004,Aeropixthree,Tuner Monster,effect,Once per turn (Quick Effect): You can target 1 face-up monster your opponent controls in this card's column; move this card you control to another of your Main Monster Zones  and if you do  move that opponent's monster to their Main Monster Zone in this card's column  then place 1 Burnup Counter on it. (Monsters with Burnup Counters lose 200 ATK/DEF for each Burnup Counter on it.),1.0,200.0,200.0,Fairy,WIND,
96084564,Aileron,Effect Monster,effect,"(This card is always treated as a ""Sky Striker"" card.)  A ""Sky Striker Ace"" monster equipped with this card gains 400 ATK. You can only use 1 of the following effects of ""Aileron"" per turn  and only once that turn. During the Main Phase (Quick Effect): You can target 1 ""Sky Striker Ace"" monster you control; equip this card from your hand or field to it. If this card on the field is destroyed: You can send 1 ""Sky Striker"" Spell from your Deck to the GY.",1.0,0.0,0.0,Machine,WIND,Sky Striker
69023354,Air Armor Ninja,Effect Monster,effect,"When this card is Summoned: You can target 1 ""Ninja"" monster you control; reduce its Level by 1.",4.0,1400.0,1400.0,Warrior,WIND,Ninja
8353769,Air Eater,Normal Monster,normal,A monster that feeds on oxygen  suffocating any who stand near.,6.0,2100.0,1600.0,Fiend,WIND,
84747429,Airorca,Effect Monster,effect,Once per turn: You can banish 1 Fish  Sea Serpent  or Aqua-Type monster from your hand  then target 1 face-up card your opponent controls; destroy that target  then banish this card until your next Standby Phase.,3.0,1400.0,300.0,Sea Serpent,WIND,
35877582,"Aiwass, the Magistus Spell Spirit",Fusion Monster,fusion,"1 ""Magistus"" monster + 1 Spellcaster monster  While this card is an Equip Card  the equipped monster gains 1000 ATK/DEF. During the Main Phase (Quick Effect): You can target 1 other face-up monster on the field; equip this card you control to it. If this card was equipped to an opponent's monster by this effect  take control of the equipped monster  also it cannot activate its effects. You can only use this effect of ""Aiwass  the Magistus Spell Spirit"" once per turn.",8.0,2000.0,2800.0,Fiend,WIND,Magistus
25795273,Al-Lumi'raj,Tuner Monster,effect,All monsters on the field lose ATK and DEF equal to their own Level/Rank x 300.,3.0,1600.0,1000.0,Wyrm,WIND,
78121572,Alchemist of Black Spells,Effect Monster,effect,Once per turn  you can change this face-up Attack Position card you control to face-up Defense Position and place 1 Spell Counter on a face-up card you control that you can place a Spell Counter on.,4.0,1200.0,1800.0,Spellcaster,WIND,
17573739,"Alector, Sovereign of Birds",Effect Monster,effect,"If your opponent controls 2 or more face-up monsters of the same Attribute  you can Special Summon this card (from your hand). Once per turn: You can target 1 face-up card on the field; that target's effects are negated during this turn. There can only be 1 face-up ""Alector  Sovereign of Birds"" on the field.",6.0,2400.0,2000.0,Winged Beast,WIND,
25920413,Alien Skull,Effect Monster,effect,"You can Tribute 1 face-up Level 3 or lower monster on your opponent's side of the field to Special Summon this card to your opponent's side of the field. If you Special Summon this monster this way  place 1 A-Counter on this card  and you cannot Normal Summon or Set the same turn. (If a monster with an A-Counter battles an ""Alien"" monster  it loses 300 ATK and DEF for each A-Counter during damage calculation only.)",4.0,1600.0,1800.0,Reptile,WIND,Alien
3366982,Alligator's Sword Dragon,Fusion Monster,fusion,"""Baby Dragon"" + ""Alligator's Sword"" This card can attack your opponent directly if the only face-up monsters they control are EARTH  WATER  or FIRE.",5.0,1700.0,1500.0,Dragon,WIND,Alligator
57769391,Altergeist Pixiel,Effect Monster,effect,"You can Tribute this card; excavate the top 3 cards of your Deck  add 1 excavated ""Altergeist"" card to your hand  also send the rest to the GY. You can only use this effect of ""Altergeist Pixiel"" once per turn.",1.0,100.0,100.0,Spellcaster,WIND,Altergeist
89538537,Altergeist Silquitous,Effect Monster,effect,"(Quick Effect): You can return 1 other ""Altergeist"" card you control to the hand  then target 1 card your opponent controls; return it to the hand. If this card is sent from the field to the GY: You can target 1 ""Altergeist"" Trap in your GY; add that card to your hand. You can only use each effect of ""Altergeist Silquitous"" once per turn.",2.0,800.0,1500.0,Spellcaster,WIND,Altergeist
27632240,Altitude Knight,Effect Monster,effect,Once per turn  if another monster on the field returns to the hand or Main Deck: Send 1 WIND monster from your Deck to the Graveyard.,4.0,1400.0,1200.0,Warrior,WIND,
